names,teams,leagues,positions,jersey_numbers,goals,assists,yellow_cards,red_cards,shots,shots_og,saves,clean_sheets,goals_against,photo_urls,heights,weights,birthdates,nationalities
Croix Soto,Kansas City Current,nwsl,N/A,23,0,0,0,0,2,1,0,3,13,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\9\14/Croix_Soto.png,"5' 10""",N/A,2001-01-02T08:00Z,USA
Kylie Strom,Orlando Pride,nwsl,N/A,3,1,1,2,0,7,1,0,6,28,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Kylie_Strom_001.jpeg,"5' 8""",N/A,1992-03-18T08:00Z,USA
Nicole Douglas,Washington Spirit,nwsl,N/A,17,0,0,0,0,4,1,0,0,6,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Nicole_Douglas_002.jpeg,N/A,N/A,2000-07-31T07:00Z,England
Isabel Dehakiz,Portland Thorns FC,nwsl,N/A,50,0,0,0,0,0,0,0,0,0,N/A,"5' 5""",N/A,2000-07-19T07:00Z,Colombia
Lindsi Jennings,Houston Dash,nwsl,N/A,36,0,0,0,0,0,0,0,0,1,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\7\12/jennings.jpg,"5' 9""",N/A,N/A,USA
Maitane Lopez,NJ/NY Gotham FC,nwsl,N/A,77,1,0,0,0,3,2,0,1,8,N/A,"5' 9""",132 lbs,1995-03-13T08:00Z,Spain
Kirsten Davis,Racing Louisville FC,nwsl,N/A,22,4,1,1,0,38,13,0,0,10,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Kirsten_Davis_002.jpeg,N/A,N/A,1998-09-08T07:00Z,USA
Bianca St. Georges,Chicago Red Stars,nwsl,N/A,22,4,1,3,0,33,14,0,2,36,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Bianca_St_Georges_001.jpeg,"5' 6""",N/A,1997-07-28T07:00Z,Canada
Mandy Haught,NJ/NY Gotham FC,nwsl,N/A,24,0,0,1,0,0,0,11,2,7,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Mandy_Haught_001.jpeg,"5' 9""",N/A,1998-11-03T08:00Z,USA
Zaneta Wyne,Racing Louisville FC,nwsl,N/A,3,0,0,0,0,0,0,0,0,0,N/A,"5' 6""",128 lbs,1990-08-03T07:00Z,USA
Samantha Hiatt,OL Reign,nwsl,N/A,17,0,0,2,0,4,1,0,3,21,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Sam_Hiatt_001.jpeg,"5' 10""",N/A,1998-01-06T08:00Z,USA
Brittany Isenhour,Angel City FC,nwsl,N/A,1,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Brittany_Isenhour_001.jpeg,"5' 8""",N/A,1997-09-22T07:00Z,USA
Bárbara Olivieri,Houston Dash,nwsl,N/A,15,0,0,2,0,5,1,0,0,2,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Barbara_Olivieri_002.jpeg,"5' 5""",121 lbs,2002-02-24T08:00Z,Venezuela
Gabrielle Robinson,Kansas City Current,nwsl,N/A,24,0,0,2,0,4,1,0,5,30,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Gabrielle_Robinson.jpeg,"5' 8""",N/A,2001-06-18T07:00Z,USA
Julia Bianchi,Chicago Red Stars,nwsl,N/A,5,0,5,3,0,15,1,0,4,31,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\28/Julia_Bianchi_001.jpeg,"5' 6""",130 lbs,1997-10-07T07:00Z,Brazil
Angelina,OL Reign,nwsl,N/A,6,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Angelina_001.jpeg,"5' 3""",128 lbs,2000-01-26T08:00Z,Brazil
Lyza Bosselmann,Washington Spirit,nwsl,N/A,18,0,0,0,0,0,0,0,0,0,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Liza_Bosselmann_002.jpeg,N/A,N/A,2001-07-27T07:00Z,USA
Trinity Rodman,Washington Spirit,nwsl,N/A,2,5,2,3,0,56,29,0,3,22,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\20/Trinity_Rodman_002.jpeg,"5' 7""",128 lbs,2002-05-20T07:00Z,USA
Olivia Sekany,Racing Louisville FC,nwsl,N/A,99,0,0,0,0,0,0,0,0,0,N/A,"6' 0""",N/A,1998-12-29T08:00Z,USA
Ary Borges,Racing Louisville FC,nwsl,N/A,8,1,0,4,0,32,10,0,4,15,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Ary_Borges_002.jpeg,"5' 6""",130 lbs,1999-12-28T08:00Z,Brazil
Olivia Moultrie,Portland Thorns FC,nwsl,N/A,13,2,3,1,0,36,13,0,0,15,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\17/Olivia_Moultrie_001.jpeg,"5' 7""",N/A,2005-09-17T07:00Z,USA
Michelle Cooper,Kansas City Current,nwsl,N/A,17,3,1,5,0,37,17,0,1,29,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\24/Michelle_Cooper.jpeg,"5' 3""",N/A,2002-12-04T08:00Z,USA
Kelsey Hill,Angel City FC,nwsl,N/A,36,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,USA
Lauren,Kansas City Current,nwsl,N/A,78,0,0,0,0,0,0,0,0,0,N/A,"5' 10""",141 lbs,2002-09-13T07:00Z,Brazil
Bruninha,NJ/NY Gotham FC,nwsl,N/A,3,2,0,2,0,4,3,0,1,19,https://d2nkt8hgeld8zj.cloudfront.net\images\2023\3\23/Bruninha_002.jpeg,"5' 3""",119 lbs,2002-06-16T07:00Z,Brazil
